arm,condition,seed,session,scaffolded,part_dominance,depth_index,opacity_index,posterior_confidence,root_belief_alone,revision_weight,profile_part,profile_context,profile_interoception,profile_relational,profile_policy
witnessing,no_profile_learning,7101,12,0.0,0.6808298542717977,0.4623030122737765,0.6991568995125621,0.7960591026973142,0.0865539661555253,0.08335609281213126,0.0,0.0,0.0,0.0,0.0
witnessing,local_only,7101,1,1.0,0.5663194622981724,0.0,0.967408173823073,0.967408173823073,0.8108522574292413,0.3371214225255481,0.4465241503087494,0.3611320974481873,0.3498523187205438,0.6448862140102064,0.3735846192602894
witnessing,local_only,7101,2,1.0,0.4886757624078406,0.0,0.967408173823073,0.967408173823073,0.6989701750509323,0.27870850933209784,0.7498677396778317,0.706298647037787,0.6588351990056305,1.0457992374333267,0.6770178783398647
witnessing,local_only,7101,3,1.0,0.4285285108215164,0.0,0.967408173823073,0.967408173823073,0.5630398877650052,0.26767734890599243,0.9754467995696241,1.0379341596543157,0.7432402925143806,1.3241649304058711,0.937521418014128
witnessing,local_only,7101,4,1.0,0.5152621363272352,0.0,0.967408173823073,0.967408173823073,0.4281529361177159,0.24677258423521678,1.2094188767838745,1.2323686764593575,0.9575044628628827,1.4821206820010038,0.9169845815192365
witnessing,local_only,7101,5,1.0,0.5495432445472032,0.0,0.967408173823073,0.967408173823073,0.2985372765287099,0.25676446801103836,1.3059022709960002,1.257884010412115,1.1012551773824495,1.563508147515538,0.9399726632795619
witnessing,local_only,7101,6,1.0,0.5043670742536174,0.0,0.967408173823073,0.967408173823073,0.20863329250897417,0.21768653423988626,1.2559424471016623,1.217700032712134,1.2512289831174503,1.5307023900706087,1.006728243292703
witnessing,local_only,7101,7,0.0,0.37985998071139093,0.0,0.6956521739130435,0.769230865088683,0.1684812694564202,0.11965723220832927,1.2670112031803766,1.3978519860668774,1.2802398105396784,1.5307023900706087,0.9965696454565426
witnessing,local_only,7101,8,0.0,0.5641929371125026,0.0,0.6956521739130435,0.769230865088683,0.12025232297138498,0.17891530344890877,1.2078790608044194,1.2142278648530629,1.1787919044328037,1.5307023900706087,0.7736463919485342
witnessing,local_only,7101,9,0.0,0.4308951570325417,0.0,0.6956521739130435,0.769230865088683,0.09336006537890643,0.1287449040854569,1.2032411632583315,1.296582308435775,0.9134497997023499,1.5307023900706087,1.0724274247426033
witnessing,local_only,7101,10,0.0,0.33801772500831007,0.0,0.6956521739130435,0.769230865088683,0.07453732679400599,0.11168730498157109,1.1437409940595287,1.422297915397949,1.19308852939682,1.5307023900706087,1.117562096953263
witnessing,local_only,7101,11,0.0,0.4664730437331507,0.0,0.6956521739130435,0.769230865088683,0.056743427177246716,0.13263851322597092,1.103046257322494,1.3354439597123748,1.2572931182711076,1.5307023900706087,1.2090087410435075
witnessing,local_only,7101,12,0.0,0.6871532361213466,0.0,0.6956521739130435,0.769230865088683,0.04179641950401608,0.14611412952937228,1.225192027128565,1.1314324423264601,1.2762849463672847,1.5307023900706087,1.0669906142735393
witnessing,inverted_broadcast,7101,1,1.0,0.4349759087100634,0.058829502971953586,0.9677659071765363,0.9677659071765363,0.8798367431414185,0.09379068101354976,0.45601540448117134,0.372310533310193,0.3612536211783779,0.6504582177304624,0.38451701739294303
witnessing,inverted_broadcast,7101,2,1.0,0.5107027716711519,0.052868284299945056,0.9677659071765363,0.9677659071765363,0.848843548313687,0.12060254167886714,0.7643603853323728,0.7211427136157966,0.6745497601185673,1.0556282102445462,0.6925147637557522
witnessing,inverted_broadcast,7101,3,1.0,0.5698719707133115,0.051569278258560884,0.9677659071765363,0.9677659071765363,0.8125849532310181,0.11757485440462942,0.9908595048804105,1.0514967092067136,0.7622952979841766,1.3352791294879016,0.952945107343262
witnessing,inverted_broadcast,7101,4,1.0,0.4853215301497827,0.05259657034231234,0.9677659071765363,0.9677659071765363,0.766189406239779,0.12726216415203026,1.2219272664088792,1.2443667236694949,0.9729448030813144,1.493130372421216,0.9345292422346891
witnessing,inverted_broadcast,7101,5,1.0,0.4515345612231691,0.058475049136250436,0.9677659071765363,0.9677659071765363,0.7117201863292858,0.1287112694799991,1.3156651112984246,1.2686927902968341,1.11213079759305,1.5725230654158837,0.9547032708488903
witnessing,inverted_broadcast,7101,6,1.0,0.4954967978593594,0.06479244040213061,0.9677659071765363,0.9677659071765363,0.6369732026813243,0.15522832745630075,1.2643908467363654,1.2266854138554442,1.2565038733671523,1.5382897604639816,1.0163383945003892
witnessing,inverted_broadcast,7101,7,0.0,0.6098673981951276,0.04610744621214256,0.6991568995125621,0.7960591026973142,0.592757190797456,0.08494348526052987,1.2813288854997282,1.3986507487617628,1.2906829775423043,1.575894590122553,1.0135129269334193
witnessing,inverted_broadcast,7101,8,0.0,0.4429151868154314,0.084952182769549,0.6991568995125621,0.7960591026973142,0.5543492234061559,0.07141638346875777,1.1981558931983347,1.204546217387852,1.1696271658006325,1.4679151808879443,0.7793950036817141
witnessing,inverted_broadcast,7101,9,0.0,0.5636089474808214,0.05492427448826981,0.6991568995125621,0.7960591026973142,0.5130545338912585,0.07546782558684827,1.2014286670539567,1.2876370969977826,0.9335288398558081,1.489800163091038,1.0573132311405777
witnessing,inverted_broadcast,7101,10,0.0,0.650854263857626,0.042045981209233946,0.6991568995125621,0.7960591026973142,0.4655314473790228,0.08651056766678422,1.164512729786807,1.422429289347285,1.2024657279702158,1.563073050663794,1.1196701519417718
witnessing,inverted_broadcast,7101,11,0.0,0.5352743075732288,0.051942300823641686,0.6991568995125621,0.7960591026973142,0.41998818320185705,0.08396757201856977,1.122941319894278,1.3435508258899926,1.2599431859657324,1.5667066349257035,1.2039250039774096
witnessing,inverted_broadcast,7101,12,0.0,0.33055410925257867,0.06294590026239948,0.6991568995125621,0.7960591026973142,0.3792123141831299,0.0773049942005891,1.2208609423501957,1.145057814040308,1.2674238488930996,1.5271874163130756,1.0655478628984671
witnessing,no_profile_learning,7102,1,1.0,0.4385229684882556,0.8058406265196457,0.9677659071765363,0.9677659071765363,0.8519990624665855,0.20311716333096602,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,2,1.0,0.3640980253637092,0.8319193224448173,0.9677659071765363,0.9677659071765363,0.762625177894043,0.2651093522640312,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,3,1.0,0.4181136770915178,0.8838010910076793,0.9677659071765363,0.9677659071765363,0.6437390465586534,0.26158921993671724,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,4,1.0,0.4272534324685392,0.8835015054129478,0.9677659071765363,0.9677659071765363,0.521979908963647,0.22893346530221198,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,5,1.0,0.47901335404567325,0.916927593366507,0.9677659071765363,0.9677659071765363,0.3943561945716741,0.23500628223168005,0.0,0.0,0.0,0.0,0.0
